NEGATIVE# Бешенство                               # 540 #0
POSITIVE# Водное дыхание                          # 642 #2
POSITIVE# Восстановление запаса сил               # 207 #1
POSITIVE# Восстановление здоровья                 # 172 #1
POSITIVE# Восстановление магии                    # 207 #1
NEGATIVE# Замедление                              # 1582 #0
NEGATIVE# Затяжной урон запасу сил                # 81 #0
NEGATIVE# Затяжной урон здоровью                  # 543 #0
NEGATIVE# Затяжной урон магии                     # 452 #0
POSITIVE# Исцеление болезней                      # 134 #2
POSITIVE# Невидимость                             # 1680 #2
NEGATIVE# Опустошение запаса сил                  # 338 #0
NEGATIVE# Опустошение здоровья                    # 39 #0
NEGATIVE# Опустошение магии                       # 98 #0
NEGATIVE# Паралич                                 # 1797 #0
NEGATIVE# Повреждение регенерации запаса сил      # 1017 #0
NEGATIVE# Повреждение регенерации магии           # 1696 #0
POSITIVE# Повышение запаса сил                    # 455 #1
POSITIVE# Повышение здоровья                      # 531 #1
POSITIVE# Повышение искусства лучника             # 759 #1
POSITIVE# Повышение искусства торговли            # 303 #2
POSITIVE# Повышение магии                         # 455 #1
POSITIVE# Повышение навыка: блокирование          # 354 #1
POSITIVE# Повышение навыка: взлом                 # 165 #2
POSITIVE# Повышение навыка: восстановление        # 759 #2
POSITIVE# Повышение навыка: двуручное оружие      # 759 #1
POSITIVE# Повышение навыка: зачарование           # 97  #2
POSITIVE# Повышение навыка: изменение             # 303 #2
POSITIVE# Повышение навыка: иллюзия               # 607 #2
POSITIVE# Повышение навыка: карманные кражи       # 759 #2
POSITIVE# Повышение навыка: колдовство            # 483 #2
POSITIVE# Повышение навыка: кузнечное дело        # 562 #2
POSITIVE# Повышение навыка: лёгкая броня          # 354 #2
POSITIVE# Повышение навыка: одноручное оружие     # 759 #1
POSITIVE# Повышение навыка: разрушение            # 966 #2
POSITIVE# Повышение навыка: скрытность            # 759 #2
POSITIVE# Повышение навыка: тяжёлая броня         # 354 #2
POSITIVE# Повышение переносимого веса             # 1337 #2
POSITIVE# Регенерация запаса сил                  # 1135 #1
POSITIVE# Регенерация здоровья                    # 1135 #1
POSITIVE# Регенерация магии                       # 1135 #1
POSITIVE# Сопротивление магии                     # 324 #1
POSITIVE# Сопротивление огню                      # 550 #1
POSITIVE# Сопротивление холоду                    # 550 #1
POSITIVE# Сопротивление электричеству             # 550 #1
POSITIVE# Сопротивление ядам                      # 593 #1
NEGATIVE# Страх                                   # 602 #0
NEGATIVE# Урон запасу сил                         # 275 #0
NEGATIVE# Урон здоровью                           # 23 #0
NEGATIVE# Урон магии                              # 337 #0
NEGATIVE# Уязвимость к магии                      # 330 #0
NEGATIVE# Уязвимость к огню                       # 307 #0
NEGATIVE# Уязвимость к холоду                     # 256 #0
NEGATIVE# Уязвимость к электричеству              # 359 #0
NEGATIVE# Уязвимость к яду                        # 330 #0
